scenario,controller,seeds,deterministic,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds
ai_training_bursty,residual_sac,5,False,419.113135100759,3.65672649974079,5383.64028410249,48.925842635805,112.181092250939,7.5195195119176,95.4620633985073,6.0362083092717,89.0217391304348,1.41656646945417,88.2608695652174,0.90941307231965,54.3438256173818,7.27349232803582,35.6624497250908,2.96762552500097,2572.65349072405,197.269900647634,0.321581686340507,0.0246587375809543,0.229566781716631,0.0273484533349311,679.536483450833,23.2615206848479,679.536483450833,23.2615206848479,6.33378623188406,1.22632266461626,6.65534420289855,1.23916076835118
ai_training_bursty,proposed_residual_safesac,5,False,420.435295963225,2.93881689602559,5414.7878493065,32.5377396676888,105.698096926722,4.12660119993483,88.8078720581419,4.30664991005695,89.0489130434783,1.43662390085721,87.6086956521739,0.595350605983873,54.2571415716061,7.01559488177918,37.4575126776965,2.26556641909572,2514.86555624819,239.217183013018,0.314358194531023,0.0299021478766272,0.212050103666203,0.0161011637442559,675.851772993856,6.96371257867224,675.851772993856,6.96371257867224,6.45606884057971,0.64470470599871,5.47101449275362,0.428267608389746
smooth_cloud_service,no_battery,1,True,414.628066948026,0,5381.84319806201,0,144.738026061487,0,120.916452909034,0,0,0,0,0,8772.75743538122,0,342.814366904024,0,0,0,0,0,0,0,679.69205489147,0,961.475911025145,0,0,0,0,0
smooth_cloud_service,rule_based,1,True,376.057122220844,0,4923.19770032849,0,187.22542326269,0,148.373824286273,0,21.09375,0,6.25,0,6547.63664220517,0,327.406974627267,0,1043.8022028573,0,0.130475275357162,0,0.265935578335714,0,678.31204078493,0,961.475911025145,0,30.0611413043478,0,0,0
smooth_cloud_service,tou_self_consumption,1,True,377.790277345284,0,5049.36366079529,0,191.713948242346,0,147.786952498765,0,6.25,0,6.25,0,8188.23250597654,0,342.814366904024,0,1034.06602000132,0,0.129258252500166,0,0.252871630035769,0,693.972288422177,0,961.475911025145,0,19.4519927536232,0,0,0
smooth_cloud_service,carbon_aware,1,True,395.199963840508,0,5219.2491383536,0,202.148163286577,0,163.981909687737,0,52.34375,0,25,0,3637.82516468294,0,322.459338260883,0,1671.44211497546,0,0.208930264371932,0,0.297096658939122,0,780.910590032517,0,1229.19175419676,0,35.1902173913044,0,0,0
smooth_cloud_service,greedy_tracking,1,True,409.828729560926,0,5354.70908839513,0,44.8999249171651,0,18.5606994131759,0,34.375,0,0,0,3722.87806730788,0,326.676303573868,0,2456.53813626966,0,0.307067267033707,0,0.15343753486963,0,537.028885831011,0,927.042159685702,0,10.745018115942,0,0,0
smooth_cloud_service,direct_safesac,5,False,398.397279174843,5.97611111184592,5135.4431357975,72.0469745994711,156.170880220827,27.9493296864972,129.751344322289,24.8597599600205,99.7010869565217,0.223256477243947,97.8260869565217,1.33124442542564,0.401442728613809,0.650401732813725,1.17358019742678,1.63771343958701,2879.24321437281,284.896945114177,0.359905401796602,0.0356121181392721,0.156723825623227,0.0276063401709678,653.673753282717,28.0132532708152,653.673753282717,28.0132532708152,41.0892210144928,19.8190535216119,18.0140398550725,5.41886657415015
smooth_cloud_service,residual_sac,5,False,389.545836039472,5.2204001986103,5037.3669999104,64.7571735565506,86.9970558483945,4.96344380777746,76.0865269920786,5.13849716202907,100,0,100,0,0,0,0,0,2725.8454357056,247.5445188592,0.3407306794632,0.0309430648574,0.19346295911948,0.0354312085466939,570.18710623311,19.5649159225808,570.18710623311,19.5649159225808,0.253623188405797,0.157825560341511,5.61367753623188,1.04879267428416
smooth_cloud_service,proposed_residual_safesac,5,False,392.366141019471,3.04049498803581,5084.94515496197,38.3878332348525,79.6564557919917,4.05177244163068,68.6029570027117,4.62654853254397,99.9728260869565,0.0607627167798917,99.7826086956522,0.486101734239082,0.0158346079283292,0.0354072597248012,0.0633384317133169,0.141629038899205,2625.31441989162,264.523338073059,0.328164302486452,0.0330654172591324,0.165654124117727,0.0203404491191743,566.121357825037,15.928199075137,566.121357825037,15.928199075137,0.382699275362319,0.231820360363582,5.07019927536232,0.726157543341335
