daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,variant,seed,day_index
369.7336237223962,188.71808435629498,369.7336237223962,12269.538865466653,0.0,0.0,4403.699137555948,358.91317398654826,617.4000000000001,617.4000000000001,100.0,617.4000000000001,1.0,2494.7361384239775,0.3118420173029972,663.2826484646524,663.2826484646524,0.0,0.0,92.82197898587917,80.27294417843223,37.5,37.5,1.0,0.0,0.0,58.45717191696161,37.5,47.308409214019775,0.2156390288773515,0.6786129498816639,0.2156390288773515,0.3343609711226485,0.0,0.0,0.0,0.0,-1.965813378711406,residual_prior_no_safety,5,66
305.25982048548235,134.11709832632624,305.25982048548235,12218.900767794144,0.0,0.0,3898.838057294047,319.08255344624564,380.0,380.0,100.0,380.0,1.0,1748.4240758541582,0.21855300948176978,640.683056821424,640.683056821424,0.0,0.0,87.78200733583938,75.91338390484452,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.35130544340458153,0.6487807852961961,0.3532472937148201,0.19675270628517993,0.0,0.0,0.0,0.0,-1.3970531075658983,residual_prior_no_safety,5,67
17.39980084447784,80.95414117839314,17.39980084447784,9439.598800548958,0.0,0.0,2525.7329419430903,267.56782733141233,476.1,476.1,100.0,476.1,1.0,2128.369974522945,0.26604624681536815,490.32382264172463,490.32382264172463,0.0,0.0,101.91882711688692,96.21225632727146,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3334505729851041,0.6741305187159955,0.3334505729851041,0.21654942701489593,0.0,0.0,0.0,0.0,-0.8432723039415952,residual_prior_no_safety,5,68
200.32539884010984,106.40498236275891,200.32539884010984,7288.610797117109,0.0,0.0,2802.431413879545,384.49458914557505,584.2,584.2,100.0,584.2,1.0,2759.8164595167364,0.34497705743959206,489.47640491584303,489.47640491584303,0.0,0.0,96.63147617697341,88.80157060921192,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.3211704442111015,0.7274434354259892,0.3211704442111015,0.22882955578889852,0.0,0.0,0.0,0.0,-1.1083852329454054,residual_prior_no_safety,5,69
500.62020704197084,232.49668035770094,500.62020704197084,12427.736090884424,0.0,0.0,5638.69095678619,453.71827302658073,890.2,890.2,100.0,890.2,1.0,3049.6657111843997,0.38120821389805,662.914321595064,662.914321595064,0.0,0.0,121.70445301552573,114.68556644394994,0.0,0.0,1.0,0.0,0.0,148.55861203485762,0.0,247.9826533708839,0.23524462808248003,0.5904278661502906,0.24852436701838443,0.3014756329816156,0.0,0.0,0.0,0.0,-2.421840420392718,residual_prior_no_safety,5,70
559.2461618037165,221.5145582217303,559.2461618037165,13859.697705029626,0.0,0.0,7057.0693503008015,509.17916829743126,424.4,424.4,100.0,424.4,1.0,2200.7171596453118,0.27508964495566396,726.8956229548318,726.8956229548318,21.0,90.84717100986586,79.32833829985803,72.07072451710701,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.34377906930414465,0.672410710145005,0.34377906930414465,0.2062209306958554,0.0,0.0,0.0,0.0,-2.307443314809691,residual_prior_no_safety,5,71
593.2011665065621,261.54031799071413,593.2011665065621,13673.662438379211,0.0,0.0,6955.700384298149,508.69329381533527,328.1,328.1,100.0,328.1,1.0,2731.5893111547634,0.3414486638943454,742.0635944854004,742.0635944854004,16.0,165.13968463168487,98.46637099277919,85.62410483136773,0.0,0.0,1.0,0.0,0.0,111.26583516597748,0.0,90.27619287371635,0.22229038347821983,0.6970038601555819,0.23584826162182115,0.3141517383781789,0.0,0.0,0.0,0.0,-2.7243783124032723,residual_prior_no_safety,5,72
478.4376475741856,220.9095723914346,478.4376475741856,13153.226381557266,0.0,0.0,6014.106509539341,457.2343191760154,335.9,335.9,100.0,335.9,1.0,2532.0820425798456,0.3165102553224807,643.7626827436357,643.7626827436357,0.0,0.0,89.51451636121301,72.1183255314827,12.5,12.5,1.0,0.0,0.0,113.90230357646942,12.5,112.54735887050632,0.21938312245343874,0.6838192630380104,0.21938312245343874,0.3306168775465613,0.0,0.0,0.0,0.0,-2.301141379077444,residual_prior_no_safety,5,73
282.03805690885713,136.46562104101682,282.03805690885713,12871.100740892329,0.0,0.0,4096.640830719952,318.2820889362365,444.3,444.3,100.0,444.3,1.0,1700.4504153396967,0.21255630191746208,662.499747058395,662.499747058395,0.0,0.0,86.68931477291595,77.4194129742682,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.2971179707859428,0.6008700250158455,0.2971179707859428,0.2528820292140572,0.0,0.0,0.0,0.0,-1.421516885843925,residual_prior_no_safety,5,74
140.16966259066692,99.76882200123904,140.16966259066692,10294.831679883586,0.0,0.0,2933.8390501929457,284.9817404907898,558.0,558.0,100.0,558.0,1.0,2174.066766740427,0.2717583458425534,563.9235616306014,563.9235616306014,0.0,0.0,102.13456673422782,94.79056019335985,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.41294387254423254,0.7299146731618779,0.41294387254423254,0.1370561274557675,0.0,0.0,0.0,0.0,-1.0392585625129067,residual_prior_no_safety,5,75
