daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,scenario,controller,seed
519.251798041681,226.798233290414,519.251798041681,10321.0173317812,0,0,6177.72388397866,598.557650412596,384.1,384.1,100,384.1,1,1956.32343063411,0.244540428829264,590.339159863398,590.339159863398,0,0,112.84719932432,103.827864769846,100,100,0,0,100,0,100,0,0.559132311217078,0.823312758906946,0.732513618851143,0.182513618851143,0,0,0,0,-2.36248159677515,51,low_it_load,proposed_residual_safesac,2
420.214690034933,204.000647278083,420.214690034933,9720.51306548841,0,0,5267.12141101917,541.856317206084,593.2,593.2,100,593.2,1,2719.45826318054,0.339932282897567,599.255352670149,599.255352670149,0,0,124.574174746934,120.088708770572,100,100,0,0,100,0,100,0,0.565461422600002,0.9,0.701221845209113,0.151221845209113,4.16666666666667,0,4.16666666666667,0,-2.12500674248003,52,low_it_load,proposed_residual_safesac,2
269.636972018658,157.55071405538,269.636972018658,9155.30606392309,0,0,3551.24975029433,387.889790412163,950.6,950.6,100,950.6,1,2570.80084590829,0.321350105738536,584.189462887934,584.189462887934,0,0,126.484368903548,121.571380995525,100,100,0,0,100,0,100,0,0.562560959228398,0.9,0.738912380987194,0.188912380987194,6.25,0,6.25,0,-1.64115327141021,53,low_it_load,proposed_residual_safesac,2
238.723504229591,158.105992032509,238.723504229591,7298.84406504991,0,0,3634.7759177146,497.993365157575,767.5,767.5,100,767.5,1,2267.15140516407,0.283393925645508,498.094474697861,498.094474697861,0,0,128.630554618947,126.810752412919,100,100,0,0,100,0,100,0,0.55977706455336,0.9,0.691192843516381,0.141192843516381,4.16666666666667,0,4.16666666666667,0,-1.6469374170053,54,low_it_load,proposed_residual_safesac,2
311.98778512298,144.422415974877,311.98778512298,6071.11066655026,0,0,3790.5130619518,624.352490037158,278.4,278.4,100,278.4,1,1440.46503190643,0.180058128988304,425.867456022973,425.867456022973,0,0,104.827717645745,101.082962751389,100,100,0,0,100,0,100,0,0.550599929897446,0.738105579365224,0.592032072846305,0.0420320728463054,0,0,0,0,-1.50440016640496,55,low_it_load,proposed_residual_safesac,2
481.653235660985,187.592082163081,481.653235660985,10164.8860008977,0,0,5703.75099124638,561.122966921877,447.2,447.2,100,447.2,1,1479.96653771961,0.184995817214952,616.645874644072,616.645874644072,0,0,61.6821194514303,48.644120874155,100,100,1,1,100,0,100,0,0.514543810055091,0.710886123607032,0.710886123607032,0.160886123607032,0,8.33333333333333,0,8.33333333333333,-1.95408418919876,56,low_it_load,proposed_residual_safesac,2
416.162031116678,190.692716782743,416.162031116678,10718.2615889497,0,0,4949.67358783807,461.798170044766,329.9,329.9,100,329.9,1,2108.65466053678,0.263581832567097,615.212378220943,615.212378220943,0,0,111.956145631008,103.912236262113,100,100,0,0,100,0,100,0,0.564713324713055,0.80838918952269,0.737569065826004,0.187569065826004,0,0,0,0,-1.98638246648691,57,low_it_load,proposed_residual_safesac,2
319.005178618998,158.367831334074,319.005178618998,10521.1227407149,0,0,3771.00981442667,358.422756521367,496.1,496.1,100,496.1,1,2542.14718287584,0.317768397859479,587.291114677274,587.291114677274,0,0,112.61409097111,107.576074823737,100,100,1,1,100,0,100,0,0.560489640852533,0.878924481926634,0.696789086022855,0.146789086022855,0,0,0,0,-1.64966490972993,58,low_it_load,proposed_residual_safesac,2
416.435942276935,184.539728618039,416.435942276935,10378.7841773223,0,0,4473.20237846092,430.994835429267,614.3,614.3,100,614.3,1,2837.90656355387,0.354738320444234,627.319692781373,627.319692781373,0,0,121.543748351693,118.022260101431,100,100,1,1,100,0,100,0,0.564624146295651,0.9,0.678513400251102,0.128513400251102,7.29166666666667,0,7.29166666666667,0,-1.92228883977124,59,low_it_load,proposed_residual_safesac,2
401.007609834674,209.014325519443,401.007609834674,9562.49532954278,0,0,5282.30378430488,552.398051164062,935.5,935.5,100,935.5,1,2560.6809478385,0.320085118479813,620.634347854515,620.634347854515,0,0,142.869756784167,134.898087993879,100,100,0,0,100,0,100,0,0.565772484586724,0.9,0.72628167957097,0.17628167957097,7.29166666666667,0,7.29166666666667,0,-2.1772325574942,60,low_it_load,proposed_residual_safesac,2
