daily_cost_EUR,objective_value,grid_energy_cost_EUR,imported_energy_kWh,exported_energy_kWh,export_energy_kWh,carbon_emissions_kgCO2,carbon_intensity_avg_gCO2_per_kWh,pv_generation_kWh,pv_used_locally_kWh,renewable_self_consumption_ratio_pct,PV_self_consumption_kWh,renewable_self_consumption_ratio,battery_throughput_kWh,equivalent_full_cycles,mean_daily_peak_import_kW,horizon_max_grid_import_kW,peak_contract_violation_count,peak_contract_violation_energy_kWh,VPP_tracking_RMSE_kW,VPP_tracking_MAE_kW,DR_success_rate_pct,DR_interval_compliance_pct,DR_event_count,DR_successful_event_count,DR_event_compliance_pct,DR_max_violation_kW,feasible_DR_success_pct,DR_violation_energy_kWh,min_SOC,max_SOC,final_SOC,terminal_SOC_error,hard_clip_fraction_pct,soft_coach_fraction_pct,physical_projection_fraction_pct,service_coaching_fraction_pct,mean_reward,day_index,date,controller,scenario
230.75284462294,119.880163061583,230.75284462294,8424.46625118371,0,0,4194.97242972645,497.951122913814,700.5,700.5,100,700.5,1,0,0,462.765481016964,462.765481016964,0,0,105.295210813766,87.1531427109337,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.24875169855815,33,2019-11-03,no_battery,baseline_real
255.519649996614,109.76794156919,255.519649996614,6701.41035492811,0,0,3618.60398610496,539.976481733266,940.7,940.7,100,940.7,1,0,0,390.29740235096,390.29740235096,0,0,101.089877061351,83.3365144019234,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.1434160580124,34,2019-11-04,no_battery,baseline_real
503.607175194215,201.33130838311,503.607175194215,11398.3594981187,0,0,6490.49915388748,569.42397324446,715.9,715.9,100,715.9,1,0,0,694.903993110142,694.903993110142,10,19.4416852256157,150.128166408241,122.157301064196,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.09720112899073,35,2019-11-05,no_battery,baseline_real
612.712788199019,222.183751043707,612.712788199019,11513.5121478441,0,0,6998.12773372197,607.818678076641,628.5,628.5,100,628.5,1,0,0,737.137248821678,737.137248821678,12,76.5343438284532,138.444691960818,120.304250144196,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.31441407337194,36,2019-11-06,no_battery,baseline_real
476.196348694855,192.654478333585,476.196348694855,11182.2552860291,0,0,5955.87318481067,532.618244930594,1100.7,1100.7,100,1100.7,1,0,0,744.404221419523,744.404221419523,14,88.0264935324586,164.240277541643,140.835403904658,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-2.00681748264151,37,2019-11-07,no_battery,baseline_real
552.386226795988,249.108828127006,552.386226795988,11465.7038586853,0,0,6831.21872856493,595.795845833771,656.3,656.3,100,656.3,1,0,0,751.850025418874,751.850025418874,8,80.8603692240491,139.194685596498,115.500582348757,0,0,1,0,0,276.750204345378,0,456.551995601271,0.55,0.55,0.55,0,0,0,0,0,-2.59488362632298,38,2019-11-08,no_battery,baseline_real
450.041125284266,183.927168922792,450.041125284266,10745.0032714627,0,0,6149.82401143827,572.342683949792,615.2,615.2,100,615.2,1,0,0,636.502103473263,636.502103473263,0,0,115.659283200988,101.507179127715,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.91590800961242,39,2019-11-09,no_battery,baseline_real
337.902340720949,144.302304441731,337.902340720949,8111.12022112852,0,0,4652.21640995323,573.560283058651,1260.8,1260.8,100,1260.8,1,0,0,486.350334400559,486.350334400559,0,0,138.570427794736,108.45863938576,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.50314900460136,40,2019-11-10,no_battery,baseline_real
270.766116534109,102.905053201834,270.766116534109,6792.89097782902,0,0,3340.355278891,491.742807266217,773.1,773.1,100,773.1,1,0,0,369.319077262765,369.319077262765,0,0,86.8525479200757,68.2477972656019,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.0719276375191,41,2019-11-11,no_battery,baseline_real
497.973661838702,181.039075423736,497.973661838702,11385.8476198229,0,0,5377.00227687756,472.253138845467,725.6,725.6,100,725.6,1,0,0,749.94450575196,749.94450575196,13,96.4335864230067,164.960358446242,131.152970404061,100,100,0,0,100,0,100,0,0.55,0.55,0.55,0,0,0,0,0,-1.88582370233058,42,2019-11-12,no_battery,baseline_real
