scenario,controller,seeds,daily_cost_EUR_mean,daily_cost_EUR_std_across_seeds,carbon_emissions_kgCO2_mean,carbon_emissions_kgCO2_std_across_seeds,VPP_tracking_RMSE_kW_mean,VPP_tracking_RMSE_kW_std_across_seeds,VPP_tracking_MAE_kW_mean,VPP_tracking_MAE_kW_std_across_seeds,battery_throughput_kWh_mean,battery_throughput_kWh_std_across_seeds,equivalent_full_cycles_mean,equivalent_full_cycles_std_across_seeds,terminal_SOC_error_mean,terminal_SOC_error_std_across_seeds,mean_daily_peak_import_kW_mean,mean_daily_peak_import_kW_std_across_seeds,physical_projection_fraction_pct_mean,physical_projection_fraction_pct_std_across_seeds,service_coaching_fraction_pct_mean,service_coaching_fraction_pct_std_across_seeds,DR_interval_compliance_pct_mean,DR_interval_compliance_pct_std_across_seeds,DR_event_compliance_pct_mean,DR_event_compliance_pct_std_across_seeds,DR_violation_energy_kWh_mean,DR_violation_energy_kWh_std_across_seeds,DR_max_violation_kW_mean,DR_max_violation_kW_std_across_seeds,horizon_max_grid_import_kW_mean,horizon_max_grid_import_kW_std_across_seeds,mean_daily_DR_interval_compliance_pct_mean,mean_daily_DR_interval_compliance_pct_std_across_seeds,mean_daily_DR_event_compliance_pct_mean,mean_daily_DR_event_compliance_pct_std_across_seeds,mean_daily_DR_violation_energy_kWh_mean,mean_daily_DR_violation_energy_kWh_std_across_seeds,mean_daily_max_DR_violation_kW_mean,mean_daily_max_DR_violation_kW_std_across_seeds,secondary_daily_average_DR_compliance_pct_mean,secondary_daily_average_DR_compliance_pct_std_across_seeds
low_it_load,tou_self_consumption,1,269.91051830244936,0.0,3694.2024910196665,0.0,232.10487241767885,0.0,176.20810384085374,0.0,1104.85805401192,0.0,0.13810725675149002,0.0,0.2596641026883151,0.0,557.3839798325952,0.0,19.542572463768114,0.0,0.0,0.0,9.375,0.0,6.25,0.0,2148.1747542367193,0.0,141.46607279705938,0.0,818.6940258696035,0.0,84.23913043478261,0.0,83.69565217391305,0.0,23.349725589529562,0.0,18.62075494262285,0.0,84.23913043478261,0.0
low_it_load,carbon_aware,1,285.1427694414855,0.0,3835.63664352717,0.0,227.73111360586446,0.0,181.80766081788926,0.0,1671.4421149754587,0.0,0.20893026437193232,0.0,0.2970966589391218,0.0,647.8597239823952,0.0,35.19021739130435,0.0,0.0,0.0,58.59375,0.0,50.0,0.0,935.638138297461,0.0,138.1447336538821,0.0,1055.3687204769735,0.0,92.79891304347827,0.0,91.30434782608695,0.0,10.169979764102836,0.0,9.494407491094126,0.0,92.79891304347827,0.0
low_it_load,greedy_tracking,1,341.30598618518997,0.0,4522.022799364209,0.0,125.75647228104926,0.0,69.96387242409828,0.0,1822.2916739826896,0.0,0.22778645924783622,0.0,0.2983092476458232,0.0,497.5812571771959,0.0,37.74909420289855,0.0,0.0,0.0,84.375,0.0,50.0,0.0,9.520651815364545e-06,0.0,3.5509345934769954e-06,0.0,644.4795578408146,0.0,97.28260869565217,0.0,91.30434782608695,0.0,1.0348534581917983e-07,0.0,1.987102115702763e-07,0.0,97.28260869565217,0.0
low_it_load,direct_safesac,5,297.02466738560116,11.174285856712519,3825.207712855771,126.88591662808535,206.18880724346445,16.803658570587004,172.13833825131232,10.328046232207107,3012.297786998019,351.47565103827145,0.37653722337475243,0.04393445637978397,0.10668426222078309,0.038413330039512014,599.5608951764544,44.75435218628609,40.96240942028985,23.484077381530803,4.771286231884058,2.7306346221899283,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.4698656123257,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
low_it_load,residual_sac,5,321.02446180567904,8.148501872782434,4193.406641979385,97.39554385736683,121.88656655602081,3.92102654379752,112.50935649173786,4.941889325883827,2483.3762188275364,201.47725011135256,0.31042202735344204,0.02518465626391908,0.1359137359371306,0.04086875678353594,543.120375944932,48.526970441883165,6.30661231884058,2.839207974394471,1.553442028985507,0.5838703757059174,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.4698656123257,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
low_it_load,proposed_residual_safesac,5,329.6443331176429,9.103328561460113,4316.074677233026,115.00089797868702,118.31331839632556,2.1202369830045207,102.54442828801739,5.881540984795934,2364.7842870971335,158.07056791151027,0.2955980358871416,0.01975882098893876,0.19125503645604766,0.05857402286580584,552.1089911436198,28.48848674249134,10.36231884057971,3.8605400951963484,1.4538043478260871,0.7440418171413903,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.4698656123257,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
high_it_load,no_battery,1,528.4071350310276,0.0,6838.564060859965,0.0,214.100273562197,0.0,170.84985797358505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.1138621203571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13899.323134205843,0.0,574.6663059059015,0.0,1267.0303052629702,0.0,82.6086956521739,0.0,82.6086956521739,0.0,151.07959928484613,0.0,87.76870376551177,0.0,82.6086956521739,0.0
high_it_load,rule_based,1,487.9826363617889,0.0,6344.891637080462,0.0,229.57063962621757,0.0,185.74066407154695,0.0,1018.1854263714401,0.0,0.12727317829643,0.0,0.2656964880439083,0.0,887.9264187242723,0.0,29.947916666666675,0.0,0.0,0.0,20.3125,0.0,0.0,0.0,10548.968192543323,0.0,574.6663059059015,0.0,1267.0303052629702,0.0,86.1413043478261,0.0,82.6086956521739,0.0,114.66269774503613,0.0,76.22428676700882,0.0,86.1413043478261,0.0
high_it_load,tou_self_consumption,1,488.31414665771104,0.0,6439.067966240761,0.0,236.79114035502832,0.0,190.47292481170078,0.0,1004.753252124516,0.0,0.12559415651556452,0.0,0.24719907573410432,0.0,893.2757323112945,0.0,19.293478260869566,0.0,0.0,0.0,3.125,0.0,0.0,0.0,13018.004979710997,0.0,574.6663059059015,0.0,1267.0303052629702,0.0,83.15217391304348,0.0,82.6086956521739,0.0,141.50005412729345,0.0,82.98833843745692,0.0,83.15217391304348,0.0
high_it_load,carbon_aware,1,507.9420868874364,0.0,6646.208306688006,0.0,254.96981317791776,0.0,204.84061775681607,0.0,1671.4421149754587,0.0,0.20893026437193232,0.0,0.2970966589391218,0.0,965.0375472496041,0.0,35.19021739130435,0.0,0.0,0.0,32.8125,0.0,0.0,0.0,6187.176471597204,0.0,574.6663059059015,0.0,1545.6767482059333,0.0,88.31521739130434,0.0,82.6086956521739,0.0,67.25191816953483,0.0,53.60703331571194,0.0,88.31521739130434,0.0
